"ENTREZID" "EVIDENCE" "ONTOLOGY" "SYMBOL" "TXCHROM" "GOID"
"101928" "268816" "ND" "MF" "Mroh5" "chr15" "GO:0003674"
"101931" "100041273" NA NA "Gm3244" NA NA
"101932" "100503729" NA NA "Gm19859" NA NA
"101933" "107831" "IEA" "MF" "Adgrb1" "chr15" "GO:0004888"
"101944" "69439" "ND" "MF" "Mroh4" "chr15" "GO:0003674"
"101947" "11838" "TAS" "MF" "Arc" "chr15" "GO:0003779"
"101968" "16469" "IEA" "MF" "Jrk" "chr15" "GO:0003676"
"101974" "66769" "ND" "MF" "4933427E11Rik" "chr15" "GO:0003674"
"101977" "72373" "ISO" "CC" "Psca" "chr15" "GO:0005886"
"101980" "223626" "ND" "MF" "Them6" "chr15" "GO:0003674"
"101984" "57277" "IBA" "BP" "Slurp1" "chr15" "GO:0001775"
"101996" "68311" "IBA" "BP" "Lypd2" "chr15" "GO:0001775"
"102002" "69462" "ND" "MF" "Slurp2" "chr15" "GO:0003674"
"102005" "23936" "IPI" "MF" "Lynx1" "chr15" "GO:0005515"
"102013" "17068" "IEA" "CC" "Ly6d" "chr15" "GO:0005886"
"102019" "78725" NA NA "D730001G18Rik" "chr15" NA
"102020" "76486" "IPI" "MF" "Ly6k" "chr15" "GO:0005515"
"102029" "625599" "ND" "MF" "Gml" "chr15" "GO:0003674"
"102032" "15202" "ND" "MF" "Gml2" "chr15" "GO:0003674"
"102035" "110115" "ISO" "BP" "Cyp11b1" "chr15" "GO:0002017"
"102050" "13072" "IMP" "BP" "Cyp11b2" "chr15" "GO:0001991"
"102077" "67038" "ND" "MF" "2010109I03Rik" "chr15" "GO:0003674"
"102080" "17069" "IMP" "BP" "Ly6e" "chr15" "GO:0001701"
"102092" "57248" "TAS" "CC" "Ly6i" "chr15" "GO:0005886"
"102095" "110454" "IDA" "CC" "Ly6a" "chr15" "GO:0005622"
"102100" "17067" "IEA" "CC" "Ly6c1" "chr15" "GO:0005886"
"102104" "100041546" "IEA" "CC" "Ly6c2" "chr15" "GO:0005886"
"102107" "546643" NA NA "I830127L07Rik" NA NA
"102108" "546644" "IEA" "CC" "Ly6g" "chr15" "GO:0005886"
"102112" "223631" "ND" "MF" "BC025446" NA "GO:0003674"
"102115" "17071" "ND" "MF" "Ly6f" "chr15" "GO:0003674"
"102121" "100041107" NA NA "Gm3142" NA NA
"102122" "105892" NA NA "9030619P08Rik" "chr15" NA
"102123" "23934" "IEA" "CC" "Ly6h" "chr15" "GO:0005886"
"102129" "68453" "IEA" "CC" "Gpihbp1" "chr15" "GO:0005886"
"102158" "22701" "IEA" "MF" "Zfp41" "chr15" "GO:0003676"
"102168" "100503873" NA NA "Gm19937" NA NA
"102169" "72665" NA NA "2810039B14Rik" NA NA
"102170" "72960" "IEA" "MF" "Top1mt" "chr15" "GO:0003677"
"102182" "14787" "IEA" "BP" "Rhpn1" "chr15" "GO:0007165"
"102184" "378435" "IDA" "MF" "Mafa" "chr15" "GO:0000978"
"102199" "223642" "IEA" "MF" "Zc3h3" "chr15" "GO:0003677"
"102216" "100861886" NA NA NA NA NA
"102217" "69146" "IDA" "MF" "Gsdmd" "chr15" "GO:0001786"
"102244" "223645" "ND" "MF" "Mroh6" "chr15" "GO:0003674"
"102247" "223646" "IEA" "MF" "Naprt" "chr15" "GO:0004514"
"102258" "66656" "ISO" "CC" "Eef1d" "chr15" "GO:0001650"
"102280" "105734" "ND" "MF" "Tigd5" "chr15" "GO:0003674"
"102286" "66194" "ISO" "MF" "Pycrl" "chr15" "GO:0004126"
"102298" "22122" "IEA" "MF" "Tsta3" "chr15" "GO:0003824"
"102311" "78834" "IBA" "MF" "Zfp623" "chr15" "GO:0003700"
"102314" "69020" "IBA" "MF" "Zfp707" "chr15" "GO:0003700"
"102317" "223648" "ND" "MF" "Ccdc166" "chr15" "GO:0003674"
"102320" "332110" "ISO" "BP" "Mapk15" "chr15" "GO:0000122"
"102345" "105732" "IEA" "CC" "Fam83h" "chr15" "GO:0005737"
"102354" "432964" "ND" "MF" "K230010J24Rik" NA "GO:0003674"
"102357" "105782" "ISO" "BP" "Scrib" "chr15" "GO:0001843"
"102416" "67959" "IEA" "MF" "Puf60" "chr15" "GO:0003676"
"102431" "223649" "IEA" "MF" "Nrbp2" "chr15" "GO:0004672"
"102443" "223650" "ISO" "MF" "Eppk1" "chr15" "GO:0003723"
"102478" "271278" "ND" "MF" "BC024139" "chr15" "GO:0003674"
"102481" "100503893" NA NA "Gm19945" NA NA
"102482" "18810" "ISO" "MF" "Plec" "chr15" "GO:0003723"
"102509" "100316774" NA NA "Mir1942" "chr15" NA
"102510" "671535" "ISO" "MF" "Parp10" "chr15" "GO:0003950"
"102527" "66168" "IDA" "CC" "Grina" "chr15" "GO:0005783"
"102535" "100038659" NA NA "Mirt2" "chr15" NA
"102536" "74281" "IPI" "MF" "Spatc1" "chr15" "GO:0005515"
"102543" "100526548" NA NA "Mir3079" NA NA
"102544" "100503915" "IDA" "MF" "Smpd5" "chr15" "GO:0004767"
"102547" "75475" "IEA" "MF" "Oplah" "chr15" "GO:0000166"
"102553" "109075" "IBA" "CC" "Exosc4" "chr15" "GO:0000176"
"102579" "14731" "TAS" "MF" "Gpaa1" "chr15" "GO:0003923"
"102588" "66445" "IPI" "MF" "Cyc1" "chr15" "GO:0005515"
"102607" "106025" "IBA" "MF" "Sharpin" "chr15" "GO:0004842"
"102637" "68877" "IBA" "MF" "Maf1" "chr15" "GO:0000994"
"102660" "59053" "ND" "MF" "Hgh1" "chr15" "GO:0003674"
"102662" "73542" "IEA" "MF" "Tssk5" "chr15" "GO:0000166"
"102677" "223658" "ND" "MF" "Mroh1" "chr15" "GO:0003674"
"102680" "12181" "IMP" "BP" "Bop1" "chr15" "GO:0000448"
"102698" "20289" "IDA" "MF" "Scx" "chr15" "GO:0000980"
"102752" "15499" "ISO" "BP" "Hsf1" "chr15" "GO:0000122"
"102853" "13350" "IDA" "MF" "Dgat1" "chr15" "GO:0003846"
"102885" "170729" "IDA" "BP" "Scrt1" "chr15" "GO:0000122"
"102895" "666504" "ND" "MF" "Tmem249" NA "GO:0003674"
"102898" "30840" "ND" "MF" "Fbxl6" "chr15" "GO:0003674"
"102901" "52710" "ISO" "CC" "Slc52a2" "chr15" "GO:0005886"
"102908" "268822" "ND" "MF" "Adck5" "chr15" "GO:0003674"
"102917" "94230" "IEA" "MF" "Cpsf1" "chr15" "GO:0003676"
"102930" "72027" "IDA" "MF" "Slc39a4" "chr15" "GO:0005385"
"102952" "66914" "ISO" "CC" "Vps28" "chr15" "GO:0000813"
"102969" "72749" "ISO" "BP" "Tonsl" "chr15" "GO:0000724"
"102978" "54151" "IPI" "MF" "Cyhr1" "chr15" "GO:0005515"
"102985" "16581" "IEA" "MF" "Kifc2" "chr15" "GO:0000166"
"102995" "100861904" NA NA NA NA NA
"102996" "14106" "IGI" "BP" "Foxh1" "chr15" "GO:0000122"
"103046" "73062" "TAS" "CC" "Ppp1r16a" "chr15" "GO:0005829"
"103051" "76282" "IEA" "MF" "Gpt" "chr15" "GO:0003824"
"103060" "69572" "IBA" "CC" "Mfsd3" "chr15" "GO:0005887"
"103066" "79456" "IEA" "MF" "Recql4" "chr15" "GO:0000166"
"103102" "223664" "ND" "MF" "Lrrc14" "chr15" "GO:0003674"
"103105" "378937" "ND" "MF" "Lrrc24" "chr15" "GO:0003674"
"103108" "223665" "ND" "MF" "C030006K11Rik" "chr15" "GO:0003674"
"103111" "223666" "ND" "MF" "Arhgap39" "chr15" "GO:0003674"
"103115" "71591" "IBA" "MF" "Zfp251" "chr15" "GO:0003700"
"103118" "223669" "IBA" "MF" "Zfp7" "chr15" "GO:0003700"
"103121" "66398" "ND" "MF" "Commd5" "chr15" "GO:0003674"
"103128" "26961" "IBA" "BP" "Rpl8" "chr15" "GO:0002181"
"103143" "239546" "IEA" "MF" "Zfp647" "chr15" "GO:0003676"
"103152" "117171" "ND" "MF" "1110038F14Rik" "chr15" "GO:0003674"
"103155" "17189" "IMP" "BP" "Mb" "chr15" "GO:0001666"
"103168" "71939" "ND" "MF" "Apol6" "chr15" "GO:0003674"
"103171" "93686" "IGI" "BP" "Rbfox2" "chr15" "GO:0000381"
"103194" "100042318" "ND" "MF" "Gm3787" NA "GO:0003674"
"103197" "75761" "ND" "CC" "Apol7a" "chr15" "GO:0005575"
"103198" "223672" "ND" "MF" "Apol9a" "chr15" "GO:0003674"
"103201" "278679" "ND" "CC" "Apol7b" "chr15" "GO:0005575"
"103202" "245282" "ND" "MF" "Apol10a" "chr15" "GO:0003674"
"103205" "626615" "ND" "MF" "Apol11a" "chr15" "GO:0003674"
"103208" "108956" "ND" "CC" "Apol7c" "chr15" "GO:0005575"
"103209" "76409" NA NA "1700025B11Rik" "chr15" NA
"103210" "328561" "ND" "MF" "Apol10b" "chr15" "GO:0003674"
"103213" "666661" NA NA "Gm8221" "chr15" NA
"103214" "328563" "ND" "MF" "Apol11b" "chr15" "GO:0003674"
"103217" "666348" "ND" "CC" "Apol7e" "chr15" "GO:0005575"
"103218" "71898" "ND" "MF" "Apol9b" "chr15" "GO:0003674"
"103221" "239552" "ND" "MF" "Apol8" "chr15" "GO:0003674"
"103224" "17886" "ISO" "MF" "Myh9" "chr15" "GO:0000146"
"103303" "56551" "ISO" "CC" "Txn2" "chr15" "GO:0005730"
"103316" "239554" "ISO" "MF" "Foxred2" "chr15" "GO:0001948"
"103323" "55944" "IDA" "BP" "Eif3d" "chr15" "GO:0001732"
"103340" "100504021" NA NA "Gm17638" NA NA
"103341" "12300" "IEA" "MF" "Cacng2" "chr15" "GO:0005244"
"103367" "100861922" NA NA NA NA NA
"103368" "67042" "IEA" "MF" "Ift27" "chr15" "GO:0000166"
"103392" "19293" "ISO" "MF" "Pvalb" "chr15" "GO:0005509"
"103405" "17972" "IBA" "MF" "Ncf4" "chr15" "GO:0005086"
"103419" "12984" "IEA" "MF" "Csf2rb2" "chr15" "GO:0004896"
"103424" "12983" "IGI" "BP" "Csf2rb" "chr15" "GO:0001558"
"103430" "100504034" NA NA NA NA NA
"103431" "73376" "ND" "MF" "Tex33" "chr15" "GO:0003674"
"103434" "22117" "IEA" "MF" "Tst" "chr15" "GO:0003723"
"103446" "246221" "ISO" "BP" "Mpst" "chr15" "GO:0001822"
"103463" "72844" "ISO" "CC" "Kctd17" "chr15" "GO:0005737"
"103474" "71753" "IMP" "BP" "Tmprss6" "chr15" "GO:0000122"
"103494" "16185" "IEA" "MF" "Il2rb" "chr15" "GO:0004896"
"103505" "72709" "IEA" "CC" "C1qtnf6" "chr15" "GO:0005576"
"103511" "20607" "IEA" "MF" "Sstr3" "chr15" "GO:0004871"
"103531" "19354" "IEA" "MF" "Rac2" "chr15" "GO:0000166"
"103564" "72318" "IEA" "MF" "Cyth4" "chr15" "GO:0005085"
"103570" "207393" "IEA" "MF" "Elfn2" "chr15" "GO:0004864"
"103576" "17305" "IMP" "BP" "Mfng" "chr15" "GO:0002315"
"103590" "105844" "ISO" "BP" "Card10" "chr15" "GO:0007250"
"103593" "104445" "IBA" "MF" "Cdc42ep1" "chr15" "GO:0005096"
"103610" "107753" "ISO" "MF" "Lgals2" "chr15" "GO:0016936"
"103612" "106039" "IPI" "MF" "Gga1" "chr15" "GO:0005515"
"103629" "100504071" NA NA "Gm20044" NA NA
"103630" "100038696" "ND" "MF" "Gm10866" NA "GO:0003674"
"103633" "20401" "IPI" "MF" "Sh3bp1" "chr15" "GO:0017124"
"103634" "57028" "IDA" "MF" "Pdxp" "chr15" "GO:0000287"
"103662" "16852" "ISO" "MF" "Lgals1" "chr15" "GO:0001948"
"103692" "97961" "ISO" "MF" "Nol12" "chr15" "GO:0003697"
"103700" "110253" "IEA" "MF" "Triobp" "chr15" "GO:0003779"
"103714" "100038602" "ND" "MF" "Gm10865" "chr15" "GO:0003674"
"103717" "654469" NA NA "Gm17753" NA NA
"103718" "14958" "IEA" "CC" "H1f0" "chr15" "GO:0000786"
"103733" "26912" "ND" "MF" "Gcat" "chr15" "GO:0003674"
"103740" "14429" "ISO" "MF" "Galr3" "chr15" "GO:0004966"
"103751" "223690" "IPI" "MF" "Ankrd54" "chr15" "GO:0005515"
"103761" "223691" "IDA" "CC" "Eif3l" "chr15" "GO:0001650"
"103776" "27008" "IPI" "MF" "Micall1" "chr15" "GO:0005515"
"103802" "27660" "ND" "MF" "1700088E04Rik" "chr15" "GO:0003674"
"103805" "69833" "IBA" "MF" "Polr2f" "chr15" "GO:0001054"
"103818" "20665" "IDA" "MF" "Sox10" "chr15" "GO:0000978"
"103866" "100041655" NA NA "Gm10863" "chr15" NA
"103867" "100038573" "ND" "MF" "Gm10864" NA "GO:0003674"
"103870" "18693" "ISO" "MF" "Pick1" "chr15" "GO:0001664"
"103930" "57274" "IEA" "CC" "Slc16a8" "chr15" "GO:0005886"
"103941" "207495" "IDA" "MF" "Baiap2l2" "chr15" "GO:0005543"
"103959" "53357" "ISO" "BP" "Pla2g6" "chr15" "GO:0001934"
"103991" "17133" "IGI" "BP" "Maff" "chr15" "GO:0001701"
"104001" "223693" "IBA" "MF" "Tmem184b" "chr15" "GO:0005215"
"104005" "100316695" NA NA "Mir1943" "chr15" NA
"104006" "27373" "IEA" "MF" "Csnk1e" "chr15" "GO:0000166"
"104050" "100503109" NA NA "Gm16059" NA NA
"104051" "16520" "IBA" "MF" "Kcnj4" "chr15" "GO:0005242"
"104070" "105785" "ND" "MF" "Kdelr3" "chr15" "GO:0003674"
"104080" "67040" "IEA" "MF" "Ddx17" "chr15" "GO:0000166"
"104111" "13404" "IBA" "MF" "Dmc1" "chr15" "GO:0000150"
"104142" "75729" "ND" "MF" "Fam227a" "chr15" "GO:0003674"
"104145" "73739" "ISO" "CC" "Cby1" "chr15" "GO:0005634"
"104161" "223696" "IPI" "MF" "Tomm22" "chr15" "GO:0005515"
"104182" "74158" "IBA" "MF" "Josd1" "chr15" "GO:0004843"
"104185" "14904" "IEA" "MF" "Gtpbp1" "chr15" "GO:0000166"
"104194" "223697" "IDA" "CC" "Sun2" "chr15" "GO:0000784"
"104222" "100504191" "ND" "MF" "Gm16576" "chr15" "GO:0003674"
"104225" "54152" "IEA" "MF" "Dnal4" "chr15" "GO:0003774"
"104233" "504193" "IDA" "CC" "Npcd" "chr15" "GO:0005634"
"104243" "73340" "ISO" "CC" "Nptxr" "chr15" "GO:0005615"
"104253" "494448" "ISO" "BP" "Cbx6" "chr15" "GO:0000122"
"104262" "100038357" "ND" "MF" "Gm10856" NA "GO:0003674"
"104265" "109361" NA NA "D730005E14Rik" "chr15" NA
"104266" "80287" "IGI" "BP" "Apobec3" "chr15" "GO:0002244"
"104285" "52609" "ISO" "BP" "Cbx7" "chr15" "GO:0000122"
"104303" "18591" "IEP" "BP" "Pdgfb" "chr15" "GO:0001568"
"104422" "27367" "ISO" "MF" "Rpl3" "chr15" "GO:0003723"
"104437" "100302601" "ND" "MF" "Snord83b" "chr15" "GO:0003674"
"104440" "100302600" "ND" "MF" "Snord43" "chr15" "GO:0003674"
"104443" "20972" "ISO" "BP" "Syngr1" "chr15" "GO:0006605"
"104455" "66513" "IMP" "BP" "Tab1" "chr15" "GO:0000185"
"104474" "17309" "IDA" "BP" "Mgat3" "chr15" "GO:0006044"
"104477" "239555" "IEA" "MF" "Mief1" "chr15" "GO:0000166"
"104489" "11911" "IMP" "MF" "Atf4" "chr15" "GO:0000978"
"104557" "100861991" NA NA NA NA NA
"104558" "66538" "ISO" "MF" "Rps19bp1" "chr15" "GO:0003723"
"104567" "239556" "IBA" "MF" "Cacna1i" "chr15" "GO:0005248"
"104578" "383075" "ND" "MF" "Enthd1" "chr15" "GO:0003674"
"104581" "17444" "IBA" "MF" "Grap2" "chr15" "GO:0004715"
"104594" "213956" "ND" "MF" "Fam83f" "chr15" "GO:0003674"
"104597" "106059" NA NA "A430088P11Rik" "chr15" NA
"104598" "213988" "IEA" "MF" "Tnrc6b" "chr15" "GO:0003676"
"104607" "100628612" NA NA "Mir5113" "chr15" NA
"104608" "11564" "IEA" "MF" "Adsl" "chr15" "GO:0003824"
"104627" "105835" "ISO" "MF" "Sgsm3" "chr15" "GO:0005096"
"104646" "223701" "IDA" "MF" "Mkl1" "chr15" "GO:0000976"
"104676" "67638" "ND" "MF" "4930483J18Rik" "chr15" "GO:0003674"
"104679" "207911" "IEA" "MF" "Mchr1" "chr15" "GO:0004871"
"104701" "78102" NA NA "8430426J06Rik" "chr15" NA
"104702" "20524" "ISO" "MF" "Slc25a17" "chr15" "GO:0005347"
"104738" "70356" "IEA" "CC" "St13" "chr15" "GO:0005737"
"104753" "321003" "ISO" "BP" "Xpnpep3" "chr15" "GO:0003094"
"104761" "57755" "ND" "CC" "Dnajb7" "chr15" "GO:0005575"
"104764" "56438" "TAS" "CC" "Rbx1" "chr15" "GO:0000151"
"104792" "383080" "IBA" "BP" "Gm5218" NA "GO:0002181"
"104795" "328572" "ISO" "BP" "Ep300" "chr15" "GO:0000122"
"104939" "214669" "IPI" "MF" "L3mbtl2" "chr15" "GO:0005515"
"104957" "214685" "ISO" "MF" "Chadl" "chr15" "GO:0005518"
"104965" "19387" "IEA" "CC" "Rangap1" "chr15" "GO:0000775"
"104992" "20286" "ISO" "MF" "Zc3h7b" "chr15" "GO:0003723"
"104995" "100504312" NA NA "Gm17597" NA NA
"104996" "21685" "IBA" "MF" "Tef" "chr15" "GO:0000977"
"105016" "57259" "IBA" "MF" "Tob2" "chr15" "GO:0003714"
"105026" "68479" "IBA" "BP" "Phf5a" "chr15" "GO:0000398"
"105047" "11429" "IDA" "MF" "Aco2" "chr15" "GO:0003994"
"105062" "78929" "IBA" "MF" "Polr3h" "chr15" "GO:0001056"
"105078" "105859" "IEA" "MF" "Csdc2" "chr15" "GO:0003676"
"105088" "29858" "IBA" "MF" "Pmm1" "chr15" "GO:0004615"
"105100" "66346" "ND" "MF" "1700029P11Rik" "chr15" "GO:0003674"
"105103" "28075" "IPI" "MF" "Desi1" "chr15" "GO:0005515"
"105112" "14375" "IEA" "MF" "Xrcc6" "chr15" "GO:0000166"
"105169" "20826" "IBA" "BP" "Snu13" "chr15" "GO:0000398"
"105199" "328573" "ND" "MF" "4930407I10Rik" "chr15" "GO:0003674"
"105202" "74369" "IMP" "BP" "Mei1" "chr15" "GO:0000237"
"105209" "76457" "ND" "MF" "Ccdc134" "chr15" "GO:0003674"
"105213" "20788" "ISO" "BP" "Srebf2" "chr15" "GO:0000122"
"105255" "723897" "IMP" "BP" "Mir33" "chr15" "GO:0016441"
"105257" "435145" "ND" "MF" "Shisa8" "chr15" "GO:0003674"
"105261" "72049" "IMP" "BP" "Tnfrsf13c" "chr15" "GO:0001782"
"105276" "66570" "IEA" "CC" "Cenpm" "chr15" "GO:0000775"
"105284" "76505" "ND" "MF" "1500009C09Rik" "chr15" "GO:0003674"
"105287" "24050" "IEA" "MF" "Sept3" "chr15" "GO:0000166"
"105300" "74716" "ISS" "BP" "Wbp2nl" "chr15" "GO:0007343"
"105305" "17939" "IEA" "MF" "Naga" "chr15" "GO:0003824"
"105320" "338368" "IBA" "BP" "Fam109b" "chr15" "GO:0001881"
"105337" "69029" "ND" "MF" "Smdt1" "chr15" "GO:0003674"
"105352" "67130" "ND" "MF" "Ndufa6" "chr15" "GO:0003674"
"105362" "100862061" NA NA NA NA NA
"105363" "56448" "ISO" "MF" "Cyp2d22" "chr15" "GO:0004497"
"105374" "545123" "IEA" "MF" "Cyp2d11" "chr15" "GO:0004497"
"105387" "13101" "IEA" "MF" "Cyp2d10" "chr15" "GO:0004497"
"105400" "13105" "IEA" "MF" "Cyp2d9" "chr15" "GO:0004497"
"105413" "545124" NA NA "Tdg-ps" NA NA
"105414" "380997" "IBA" "BP" "Cyp2d12" "chr15" "GO:0019369"
"105415" "223706" "IBA" "BP" "Cyp2d34" "chr15" "GO:0019369"
"105416" "68444" NA NA "Cyp2d13" "chr15" NA
"105417" "627860" NA NA "Cyp2d37-ps" "chr15" NA
"105418" "71754" "IBA" "BP" "Cyp2d40" "chr15" "GO:0019369"
"105419" "76279" "ISO" "MF" "Cyp2d26" "chr15" "GO:0004497"
"105433" "21411" "IDA" "MF" "Tcf20" "chr15" "GO:0000978"
"105448" "21378" "ND" "MF" "Tbrg3" "chr15" "GO:0003674"
"105451" "100504637" NA NA "Gm20324" "chr15" NA
"105452" "100526477" NA NA "Mir3080" "chr15" NA
"105453" "106026" "ND" "MF" "AW121686" NA "GO:0003674"
"105456" "74039" "IEA" "BP" "Nfam1" "chr15" "GO:0001819"
"105475" "68607" "IEA" "CC" "Serhl" "chr15" "GO:0005737"
"105480" "74778" "IBA" "BP" "Rrp7a" "chr15" "GO:0000028"
"105488" "73826" "ISO" "CC" "Poldip3" "chr15" "GO:0000346"
"105502" "104307" NA NA "Rnu12" "chr15" NA
"105503" "109754" "ISO" "MF" "Cyb5r3" "chr15" "GO:0004128"
"105524" "100504676" NA NA NA NA NA
"105525" "239559" "IDA" "BP" "A4galt" "chr15" "GO:0001576"
"105539" "66251" "ISO" "MF" "Arfgap3" "chr15" "GO:0005096"
"105548" "69291" "ND" "MF" "1700001L05Rik" "chr15" "GO:0003674"
"105551" "23970" "IPI" "MF" "Pacsin2" "chr15" "GO:0005515"
"105585" "319953" "IEA" "MF" "Ttll1" "chr15" "GO:0000166"
"105599" "12124" "IPI" "MF" "Bik" "chr15" "GO:0005515"
"105613" "223722" "ISO" "MF" "Mcat" "chr15" "GO:0003723"
"105625" "12257" "ISO" "MF" "Tspo" "chr15" "GO:0005497"
"105659" "223723" "IEA" "MF" "Ttll12" "chr15" "GO:0000166"
"105665" "64706" "IEA" "MF" "Scube1" "chr15" "GO:0005509"
"105677" "223726" "ND" "MF" "Mpped1" "chr15" "GO:0003674"
"105681" "77627" "IBA" "MF" "Efcab6" "chr15" "GO:0005509"
"105688" "29859" "ISO" "CC" "Sult4a1" "chr15" "GO:0005737"
"105696" "75772" "IBA" "MF" "Pnpla5" "chr15" "GO:0004806"
"105707" "116939" "ISO" "MF" "Pnpla3" "chr15" "GO:0004623"
"105727" "68653" "ISO" "CC" "Samm50" "chr15" "GO:0001401"
"105741" "170736" "IEA" "MF" "Parvb" "chr15" "GO:0003779"
"105756" "64099" "IEA" "MF" "Parvg" "chr15" "GO:0003779"
"105766" "72301" "ND" "MF" "1810041L15Rik" "chr15" "GO:0003674"
"105771" "223732" "ND" "MF" "Ldoc1l" "chr15" "GO:0003674"
"105774" "109270" "IGI" "BP" "Prr5" "chr15" "GO:0001934"
"105786" "328576" NA NA "Gm20556" "chr15" NA
"105787" "73167" "ISO" "MF" "Arhgap8" "chr15" "GO:0005096"
"105791" "271305" "IBA" "MF" "Phf21b" "chr15" "GO:0000977"
"105799" "18141" "IMP" "BP" "Nup50" "chr15" "GO:0001841"
"105809" "223739" "ND" "MF" "5031439G07Rik" "chr15" "GO:0003674"
"105812" "100526461" NA NA "Mir1249" "chr15" NA
"105813" "22270" "IMP" "BP" "Upk3a" "chr15" "GO:0000902"
"105827" "73225" "ND" "CC" "Fam118a" "chr15" "GO:0005575"
"105832" "140557" "IEA" "MF" "Smc1b" "chr15" "GO:0000166"
"105852" "100502582" NA NA "Gm10923" NA NA
"105853" "67747" "ND" "MF" "Ribc2" "chr15" "GO:0003674"
"105856" "100502602" NA NA "Gm19277" "chr15" NA
"105857" "14114" "ISO" "BP" "Fbln1" "chr15" "GO:0001933"
"105889" "100861793" NA NA NA NA NA
"105890" "54138" "IPI" "MF" "Atxn10" "chr15" "GO:0005515"
"105905" "328577" "ND" "MF" "7530416G11Rik" "chr15" "GO:0003674"
"105908" "223745" NA NA "Gm4825" NA NA
"105909" "22422" "IGI" "BP" "Wnt7b" "chr15" "GO:0001525"
"105975" "105975" "ND" "MF" "AU022754" "chr15" "GO:0003674"
"105978" "723966" "IGI" "BP" "Mirlet7c-2" "chr15" "GO:0006402"
"105982" "387245" "IGI" "BP" "Mirlet7b" "chr15" "GO:0006402"
"105989" "19013" "ISO" "BP" "Ppara" "chr15" "GO:0000122"
"106066" "72355" "ND" "MF" "Cdpf1" "chr15" "GO:0003674"
"106069" "18766" "IBA" "MF" "Pkdrej" "chr15" "GO:0005262"
"106073" "239570" "ND" "MF" "Ttc38" "chr15" "GO:0003674"
"106076" "29870" "IEA" "CC" "Gtse1" "chr15" "GO:0005737"
"106081" "72026" "IEA" "MF" "Trmu" "chr15" "GO:0000049"
"106094" "12614" "NAS" "BP" "Celsr1" "chr15" "GO:0001702"
"106134" "223752" "ND" "MF" "Gramd4" "chr15" "GO:0003674"
"106141" "223753" "IEA" "MF" "Cerk" "chr15" "GO:0000166"
"106154" "223754" "IBA" "MF" "Tbc1d22a" "chr15" "GO:0005096"
"106163" "106014" "ND" "MF" "Fam19a5" "chr15" "GO:0003674"
"106169" "328579" NA NA "B230214G05Rik" "chr15" NA
"106170" "70073" "ND" "MF" "Zdhhc25" "chr15" "GO:0003674"
"106174" "223770" "ISO" "CC" "Brd1" "chr15" "GO:0005634"
"106181" "223773" "IBA" "MF" "Zbed4" "chr15" "GO:0000977"
"106190" "223774" "ISA" "MF" "Alg12" "chr15" "GO:0000030"
"106200" "76737" "IEA" "MF" "Creld2" "chr15" "GO:0005509"
"106206" "223775" "IEA" "MF" "Pim3" "chr15" "GO:0000166"
"106228" "100502684" NA NA "Gm20621" NA NA
"106229" "239591" "IEA" "MF" "Ttll8" "chr15" "GO:0000166"
"106245" "170790" "IPI" "MF" "Mlc1" "chr15" "GO:0005515"
"106276" "667558" NA NA "Gm8702" NA NA
"106277" "83456" "IEA" "MF" "Mov10l1" "chr15" "GO:0000166"
"106300" "406218" "IGI" "BP" "Panx2" "chr15" "GO:0002931"
"106319" "69120" NA NA "1810021B22Rik" "chr15" NA
"106320" "67976" "ND" "MF" "Trabd" "chr15" "GO:0003674"
"106323" "223776" "ND" "MF" "Selenoo" "chr15" "GO:0003674"
"106326" "328580" "IEA" "BP" "Tubgcp6" "chr15" "GO:0000226"
"106349" "170787" "ISO" "CC" "Hdac10" "chr15" "GO:0000118"
"106366" "29857" "IEA" "MF" "Mapk12" "chr15" "GO:0000166"
"106390" "19094" "IEA" "MF" "Mapk11" "chr15" "GO:0000166"
"106416" "140570" "IMP" "BP" "Plxnb2" "chr15" "GO:0001843"
"106438" "69440" "IEA" "MF" "Dennd6b" "chr15" "GO:0005085"
"106445" "71474" "IEA" "CC" "Ppp6r2" "chr15" "GO:0005737"
"106450" "77980" "TAS" "BP" "Sbf1" "chr15" "GO:0001558"
"106459" "223780" "ISO" "BP" "Adm2" "chr15" "GO:0001525"
"106470" "56727" "IDA" "MF" "Miox" "chr15" "GO:0004033"
"106482" "105847" "ND" "MF" "Lmf2" "chr15" "GO:0003674"
"106486" "52683" "IDA" "CC" "Ncaph2" "chr15" "GO:0000793"
"106499" "100126824" "ISO" "BP" "Sco2" NA "GO:0001654"
"106514" "72962" "ISO" "BP" "Tymp" "chr15" "GO:0000002"
"106533" "70113" "ND" "MF" "Odf3b" "chr15" "GO:0003674"
"106536" "546648" "IBA" "MF" "Klhdc7b" "chr15" "GO:0004842"
"106538" "75459" "IDA" "CC" "Syce3" "chr15" "GO:0000801"
"106549" "100134861" NA NA "Gm44502" NA NA
"106550" "12895" "ISO" "MF" "Cpt1b" "chr15" "GO:0004095"
"106565" "12651" "IEA" "MF" "Chkb" "chr15" "GO:0000166"
"106579" "60597" "ISO" "BP" "Mapk8ip2" "chr15" "GO:0000165"
"106603" "11883" "ISO" "CC" "Arsa" "chr15" "GO:0001669"
"106629" "100532730" "ND" "MF" "C230037L18Rik" "chr15" "GO:0003674"
"106632" "58234" "IGI" "BP" "Shank3" "chr15" "GO:0000165"
